,user_id,location_id,rating
0,0,0,50.0
1,0,5,40.0
2,0,12,50.0
3,0,18,30.0
4,0,27,30.0
5,1,0,50.0
6,1,3,40.0
7,1,5,50.0
8,1,7,50.0
9,1,10,50.0
10,2,0,50.0
11,2,2,50.0
12,2,10,50.0
13,2,13,50.0
14,2,32,30.0
15,3,0,50.0
16,3,16,50.0
17,4,0,50.0
18,4,9,50.0
19,5,0,50.0
20,5,3,50.0
21,5,4,50.0
22,5,19,40.0
23,5,27,50.0
24,6,0,50.0
25,6,5,50.0
26,6,9,50.0
27,6,12,50.0
28,6,13,40.0
29,6,17,50.0
30,6,27,30.0
31,6,29,40.0
32,7,0,50.0
33,7,6,50.0
34,8,0,40.0
35,8,1,50.0
36,8,3,50.0
37,8,5,50.0
38,8,10,50.0
39,8,13,50.0
40,8,17,50.0
41,8,18,50.0
42,8,27,50.0
43,9,0,50.0
44,9,2,40.0
45,9,3,50.0
46,9,5,50.0
47,9,9,40.0
48,9,13,50.0
49,9,18,40.0
50,9,20,40.0
51,9,23,50.0
52,9,24,50.0
53,9,27,30.0
54,9,32,40.0
55,9,33,50.0
56,10,0,50.0
57,10,7,50.0
58,10,10,50.0
59,10,12,40.0
60,10,16,50.0
61,10,21,50.0
62,11,0,50.0
63,11,3,40.0
64,11,6,40.0
65,11,11,40.0
66,11,12,40.0
67,11,13,50.0
68,11,16,40.0
69,11,17,50.0
70,11,18,50.0
71,11,27,40.0
72,12,0,50.0
73,12,3,50.0
74,12,5,50.0
75,12,12,30.0
76,12,13,50.0
77,12,27,10.0
78,13,0,50.0
79,14,0,30.0
80,14,2,50.0
81,14,5,50.0
82,14,6,40.0
83,14,9,50.0
84,14,10,50.0
85,14,12,40.0
86,14,13,30.0
87,14,15,50.0
88,14,18,40.0
89,14,23,40.0
90,14,27,30.0
91,14,28,50.0
92,14,29,40.0
93,14,32,40.0
94,15,0,50.0
95,15,8,50.0
96,16,0,50.0
97,16,3,50.0
98,16,13,50.0
99,16,22,50.0
100,16,26,50.0
101,16,28,30.0
102,17,0,50.0
103,17,5,50.0
104,18,0,50.0
105,18,9,50.0
106,18,32,50.0
107,19,0,50.0
108,19,2,50.0
109,19,3,40.0
110,19,7,50.0
111,19,13,40.0
112,19,15,50.0
113,19,18,40.0
114,19,27,40.0
115,19,28,50.0
116,19,29,30.0
117,19,32,50.0
118,20,0,40.0
119,21,0,30.0
120,21,1,50.0
121,21,5,50.0
122,21,13,40.0
123,21,15,40.0
124,21,18,10.0
125,21,27,40.0
126,21,28,50.0
127,21,30,50.0
128,22,0,40.0
129,22,2,50.0
130,22,13,50.0
131,22,18,30.0
132,22,22,40.0
133,22,26,40.0
134,23,0,40.0
135,23,2,50.0
136,23,13,40.0
137,24,0,50.0
138,24,1,50.0
139,24,13,50.0
140,25,0,50.0
141,25,2,50.0
142,25,8,50.0
143,25,20,50.0
144,25,27,50.0
145,26,0,30.0
146,26,3,50.0
147,26,4,50.0
148,26,27,40.0
149,27,0,50.0
150,28,0,50.0
151,28,5,50.0
152,28,10,40.0
153,28,13,50.0
154,29,0,50.0
155,29,3,40.0
156,29,15,40.0
157,29,18,50.0
158,29,28,50.0
159,30,0,40.0
160,31,0,20.0
161,32,0,50.0
162,33,0,50.0
163,33,6,50.0
164,33,10,50.0
165,33,13,30.0
166,33,26,30.0
167,33,27,30.0
168,34,0,40.0
169,34,1,50.0
170,35,0,50.0
171,35,3,50.0
172,35,5,40.0
173,35,26,50.0
174,36,0,50.0
175,36,3,50.0
176,36,5,50.0
177,36,7,50.0
178,36,11,50.0
179,36,12,40.0
180,36,13,50.0
181,36,15,50.0
182,36,18,40.0
183,36,21,50.0
184,36,23,50.0
185,36,26,50.0
186,36,27,40.0
187,36,28,50.0
188,36,29,40.0
189,36,30,50.0
190,37,0,40.0
191,38,0,50.0
192,38,20,50.0
193,39,0,50.0
194,40,0,50.0
195,40,3,50.0
196,40,5,50.0
197,40,6,40.0
198,40,12,30.0
199,40,18,50.0
200,41,0,40.0
201,41,6,40.0
202,41,10,40.0
203,41,32,30.0
204,42,0,50.0
205,42,5,50.0
206,42,7,50.0
207,42,12,50.0
208,42,13,20.0
209,43,0,50.0
210,43,10,50.0
211,43,12,50.0
212,43,14,30.0
213,43,20,50.0
214,43,21,50.0
215,43,23,50.0
216,43,26,50.0
